tipo,zona,dormitorios,duchas,garajes,m2,precio
Casas,Centro,5,3,3,220,347000
Departamentos,Norte,3,3,2,175,240000
Departamentos,Oeste,3,3,1,201,185000
Casas,Urubo,4,3,3,431,350000
Casas,Norte,4,3,2,295,175000
Casas,Norte,3,2,0,172,72000
Casas,Norte,3,3,2,156,120000
Casas,Norte,3,3,2,244,145000
Casas,Oeste,5,3,1,250,130000
Casas,Este,3,2,1,352,110000
Casas,Oeste,5,3,1,200,110000
Casas,Oeste,4,3,2,330,240000
Departamentos,Norte,2,3,0,230,295000
Casas,Norte,3,3,2,195,175000
Casas,Sur,5,1,0,240,75000
Casas,Sur,3,3,0,250,90000
Casas,Centro,3,3,1,206,300000
Casas,Sur,3,3,2,160,100000
Casas,Norte,5,3,3,235,138000
Casas,Norte,3,3,2,160,123000
Departamentos,Norte,3,3,2,157,135000
Casas,Centro,5,3,0,210,230000
Casas,Norte,3,3,2,180,100000
Casas,Este,2,1,2,322,55000
Casas,Oeste,3,3,3,220,139500
Casas,Norte,3,2,2,490,300000
Casas,Oeste,4,3,3,452,390000
Casas,Norte,3,3,1,231,95000
Casas,Sur,3,3,2,180,175000
Casas,Oeste,4,3,2,180,175000
Casas,Oeste,3,3,2,420,385000
Departamentos,Norte,2,3,0,230,295000
Casas,Norte,4,2,1,170,135000
Casas,Sur,5,3,0,282,103000
Casas,Norte,3,3,2,236,145000
Casas,Sur,5,3,0,250,200000
Departamentos,Oeste,2,2,1,176,140000
Casas,Norte,4,3,3,315,360000
Casas,Norte,3,2,2,165,120000
Casas,Norte,3,2,0,190,210000
Departamentos,Norte,3,2,1,155,145000
Casas,Oeste,3,2,2,160,120000
Casas,Oeste,3,3,2,152,125000
Casas,Sur,5,3,0,175,115000
Casas,Norte,3,3,3,440,385000
Casas,Sur,3,3,0,302,294000
Casas,Urubo,3,2,0,300,135000
Casas,Este,3,3,0,223,355000
Casas,Norte,3,2,2,220,112000
Casas,Sur,5,2,0,240,115000
Casas,Centro,3,2,2,300,160000
Casas,Oeste,3,3,2,164,117500
Casas,Norte,4,3,2,520,345000
Casas,Urubo,4,3,3,431,350000
Casas,Centro,3,3,1,206,300000
Casas,Norte,5,3,0,448,190000
Casas,Norte,3,2,2,320,255000
Casas,Norte,4,3,2,160,125000
Casas,Oeste,5,3,0,317,82000
Casas,Norte,4,3,2,216,195000
Casas,Este,4,2,2,180,105000
Casas,Este,5,3,0,400,350000
Casas,Oeste,3,3,2,171,120000
Casas,Urubo,3,3,2,170,170000
Casas,Norte,3,3,2,350,245000
